Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
advantage_clip,0.9,0.95,0.25,0.15
attention_only,1.0,0.9,0.5,0.35
baseline_rl,1.0,0.7,0.3,0.1
bc_wins,0.9,0.7,0.4,0.1
entropy_bonus,0.9,0.4,0.45,0.15
ewc,1.0,0.85,0.6,0.3
ffn_only,1.0,1.0,0.35,0.3
frozen_backbone,0.95,0.9,0.5,0.4
gradient_surgery,1.0,0.9,0.45,0.25
head_only,1.0,0.8,0.3,0.3
kl_penalty,0.9,1.0,0.2,0.45
layer_ablation_top1,0.9,0.75,0.2,0.2
layer_ablation_top2,0.95,0.9,0.35,0.25
layer_ablation_top3,0.95,0.75,0.4,0.45
llrd,0.8,0.9,0.4,0.25
lora,1.0,0.75,0.2,0.2
low_t,1.0,0.6,0.45,0.15
mixed_replay,0.95,0.75,0.45,0.2
normalized_adv,0.1,0.0,0.1,0.1
t_curriculum,1.0,0.8,0.3,0.15
trust_region_kl,0.95,0.75,0.45,0.25
