Method,First_Collapse,Min_Score,Min_Score_Iter,Final_Score,Recovered
action_diversity,never,0.525,200,0.675,true
advantage_clip,300,0.475,300,0.575,true
attention_only,never,0.525,200,0.6,true
baseline_rl,250,0.425,250,0.65,true
bc_wins,never,0.55,150,0.575,true
entropy_bonus,50,0.475,50,0.5,false
ewc,450,0.5,450,0.625,true
ffn_only,never,0.525,500,0.525,true
frozen_backbone,250,0.45,250,0.675,true
head_only,500,0.475,500,0.475,false
kl_penalty,100,0.5,100,0.65,true
layer_ablation_top1,200,0.5,200,0.575,true
layer_ablation_top2,400,0.5,400,0.75,true
layer_ablation_top3,never,0.525,450,0.575,true
llrd,400,0.5,400,0.55,true
lora,100,0.5,100,0.55,true
low_t,never,0.525,100,0.7,true
mixed_replay,350,0.5,350,0.6,true
normalized_adv,250,0.075,450,0.125,false
reward_filtering,250,0.425,400,0.45,false
reward_model,50,0.425,500,0.425,false
running_stats,never,0.525,400,0.625,true
t_curriculum,never,0.525,100,0.6,true
trust_region_kl,never,0.525,50,0.575,true
