Method,Cos_Sim,RL_Norm,BC_Norm
action_diversity,0.8217,0.5279,0.5407
advantage_clip,-0.0386,0.5455,0.6101
attention_only,0.5306,0.3539,0.0906
baseline_rl,0.8088,0.3904,0.4024
bc_wins,0.9876,0.5529,0.5557
entropy_bonus,0.5488,0.2495,0.3153
ewc,0.9694,0.402,0.3786
ffn_only,0.3089,0.1827,0.1157
frozen_backbone,0.9266,0.1027,0.9726
head_only,-0.2009,0.5436,1.0141
kl_penalty,0.5297,0.286,0.9221
layer_ablation_top1,0.5675,0.5381,0.2529
layer_ablation_top2,-0.0309,0.3698,0.4995
layer_ablation_top3,0.3345,0.0337,0.1456
llrd,0.9639,1.9947,2.0802
lora,0.0945,0.1744,0.4814
low_t,0.4936,0.1769,0.6545
mixed_replay,0.6572,0.3549,0.7259
normalized_adv,0.5903,11159.1006,17985.6289
reward_filtering,0.8021,2.6043,1.0507
reward_model,0.6099,0.2751,0.5626
running_stats,0.7267,0.2624,0.2245
t_curriculum,0.8929,1.2704,1.1694
trust_region_kl,0.6012,0.3831,0.919
