Method,MiniHack-Room-Random-5x5-v0,MiniHack-Room-Random-15x15-v0,MiniHack-Corridor-R2-v0,MiniHack-MazeWalk-9x9-v0
action_diversity,1.0,0.9,0.4,0.4
advantage_clip,1.0,0.6,0.5,0.2
attention_only,0.9,1.0,0.4,0.1
baseline_rl,1.0,1.0,0.3,0.3
bc_wins,1.0,0.7,0.4,0.2
entropy_bonus,0.8,0.8,0.4,0.0
ewc,0.9,0.9,0.3,0.4
ffn_only,0.9,1.0,0.2,0.0
frozen_backbone,0.9,0.7,0.6,0.5
head_only,0.9,0.6,0.2,0.2
kl_penalty,0.9,1.0,0.4,0.3
layer_ablation_top1,1.0,0.8,0.4,0.1
layer_ablation_top2,1.0,1.0,0.6,0.4
layer_ablation_top3,0.8,0.8,0.5,0.2
llrd,1.0,1.0,0.1,0.1
lora,0.9,0.9,0.4,0.0
low_t,1.0,1.0,0.4,0.4
mixed_replay,0.9,0.7,0.4,0.4
normalized_adv,0.3,0.1,0.0,0.1
reward_filtering,0.8,0.5,0.2,0.3
reward_model,0.8,0.5,0.3,0.1
running_stats,0.9,0.7,0.5,0.4
t_curriculum,0.9,0.9,0.4,0.2
trust_region_kl,1.0,0.6,0.3,0.4
