Method,KL_mean,KL_low_t,KL_mid_t,KL_high_t
action_diversity,0.3248,0.3907,0.3223,0.2747
advantage_clip,0.8612,1.0205,0.9043,0.6169
attention_only,0.1549,0.1664,0.1591,0.1246
baseline_rl,0.2381,0.2947,0.2297,0.182
bc_wins,0.2701,0.3443,0.2534,0.214
entropy_bonus,0.1048,0.1166,0.1082,0.1002
ewc,0.036,0.0419,0.0404,0.0328
ffn_only,0.3465,0.4222,0.3562,0.2736
frozen_backbone,0.1456,0.2105,0.1348,0.1189
head_only,0.2765,0.3732,0.2601,0.1823
kl_penalty,0.3201,0.4173,0.3109,0.2268
layer_ablation_top1,0.1895,0.198,0.1908,0.197
layer_ablation_top2,0.3123,0.3308,0.3167,0.2788
layer_ablation_top3,0.1316,0.1426,0.1373,0.0966
llrd,0.1201,0.1383,0.1157,0.124
lora,0.1584,0.1666,0.1488,0.145
low_t,0.4199,0.5494,0.3899,0.3376
mixed_replay,0.4833,0.7039,0.505,0.3654
normalized_adv,40178.4961,33286.4688,39854.0703,46015.6797
reward_filtering,0.7167,0.8703,0.7325,0.5419
reward_model,0.2984,0.3754,0.2971,0.2474
running_stats,0.452,0.6524,0.4201,0.2525
t_curriculum,0.555,0.6904,0.5432,0.4959
trust_region_kl,0.1352,0.1535,0.1158,0.1285
