Method,Group,Score,Delta_Pretrained,Delta_Baseline,Verdict
kl_penalty,A,0.675,0.1,0.075,IMPROVEMENT
ewc,A,0.65,0.075,0.05,NEUTRAL
ffn_only,C,0.65,0.075,0.05,IMPROVEMENT
llrd,A,0.625,0.05,0.025,NEUTRAL
mixed_replay,A,0.625,0.05,0.025,NEUTRAL
t_curriculum,B,0.625,0.05,0.025,NEUTRAL
layer_ablation_top3,C,0.625,0.05,0.025,NEUTRAL
running_stats,D,0.625,0.05,0.025,NEUTRAL
baseline_rl,Baseline,0.6,0.025,0.0,NEUTRAL
lora,A,0.6,0.025,0.0,NEUTRAL
low_t,B,0.6,0.025,0.0,NEUTRAL
layer_ablation_top1,C,0.6,0.025,0.0,NEUTRAL
reward_filtering,D,0.6,0.025,0.0,NEUTRAL
action_diversity,D,0.6,0.025,0.0,NEUTRAL
trust_region_kl,A,0.575,0.0,-0.025,NEUTRAL
bc_wins,B,0.575,0.0,-0.025,NEUTRAL
head_only,C,0.575,0.0,-0.025,NEUTRAL
advantage_clip,B,0.525,-0.05,-0.075,NEUTRAL
attention_only,C,0.525,-0.05,-0.075,NEUTRAL
layer_ablation_top2,C,0.525,-0.05,-0.075,NEUTRAL
reward_model,D,0.475,-0.1,-0.125,COLLAPSE
entropy_bonus,B,0.45,-0.125,-0.15,COLLAPSE
frozen_backbone,C,0.425,-0.15,-0.175,COLLAPSE
normalized_adv,B,0.125,-0.45,-0.475,COLLAPSE
