Method,Group,Score,Delta_Pretrained,Delta_Baseline,Verdict
gradient_surgery,B,0.6875,0.0821,0.15,IMPROVEMENT
layer_ablation_top2,C,0.6625,0.0571,0.125,IMPROVEMENT
llrd,A,0.65,0.0446,0.1125,IMPROVEMENT
ewc,A,0.6375,0.0321,0.1,IMPROVEMENT
mixed_replay,A,0.6375,0.0321,0.1,IMPROVEMENT
ffn_only,C,0.6375,0.0321,0.1,IMPROVEMENT
running_stats,D,0.6375,0.0321,0.1,IMPROVEMENT
attention_only,C,0.625,0.0196,0.0875,IMPROVEMENT
lora,A,0.6,-0.0054,0.0625,IMPROVEMENT
layer_ablation_top1,C,0.6,-0.0054,0.0625,IMPROVEMENT
reward_filtering,D,0.6,-0.0054,0.0625,IMPROVEMENT
action_diversity,D,0.6,-0.0054,0.0625,IMPROVEMENT
reward_model,D,0.6,-0.0054,0.0625,IMPROVEMENT
head_only,C,0.5875,-0.0179,0.05,IMPROVEMENT
frozen_backbone,C,0.5625,-0.0429,0.025,NEUTRAL
kl_penalty,A,0.55,-0.0554,0.0125,NEUTRAL
trust_region_kl,A,0.55,-0.0554,0.0125,NEUTRAL
layer_ablation_top3,C,0.55,-0.0554,0.0125,NEUTRAL
baseline_rl,Baseline,0.5375,-0.0679,0.0,NEUTRAL
entropy_bonus,B,0.5375,-0.0679,0.0,NEUTRAL
advantage_clip,B,0.5375,-0.0679,0.0,NEUTRAL
low_t,B,0.5375,-0.0679,0.0,NEUTRAL
bc_wins,B,0.5125,-0.0929,-0.025,NEUTRAL
t_curriculum,B,0.475,-0.1304,-0.0625,NEUTRAL
normalized_adv,B,0.05,-0.5554,-0.4875,COLLAPSE
