Method,Group,Score,Delta_Pretrained,Delta_Baseline,Verdict
ewc,A,0.6667,0.0792,0.1042,IMPROVEMENT
gradient_surgery,B,0.6542,0.0667,0.0917,IMPROVEMENT
layer_ablation_top2,C,0.6458,0.0583,0.0833,IMPROVEMENT
llrd,A,0.625,0.0375,0.0625,IMPROVEMENT
attention_only,C,0.625,0.0375,0.0625,IMPROVEMENT
layer_ablation_top1,C,0.6208,0.0333,0.0583,IMPROVEMENT
frozen_backbone,C,0.6167,0.0292,0.0542,IMPROVEMENT
ffn_only,C,0.6083,0.0208,0.0458,NEUTRAL
lora,A,0.6042,0.0167,0.0417,NEUTRAL
head_only,C,0.5958,0.0083,0.0333,NEUTRAL
t_curriculum,B,0.5875,-0.0,0.025,NEUTRAL
mixed_replay,A,0.5833,-0.0042,0.0208,NEUTRAL
trust_region_kl,A,0.575,-0.0125,0.0125,NEUTRAL
entropy_bonus,B,0.5708,-0.0167,0.0083,NEUTRAL
baseline_rl,Baseline,0.5625,-0.025,0.0,NEUTRAL
kl_penalty,A,0.5583,-0.0292,-0.0042,NEUTRAL
low_t,B,0.55,-0.0375,-0.0125,NEUTRAL
layer_ablation_top3,C,0.55,-0.0375,-0.0125,NEUTRAL
bc_wins,B,0.5125,-0.075,-0.05,NEUTRAL
advantage_clip,B,0.4958,-0.0917,-0.0667,NEUTRAL
normalized_adv,B,0.0625,-0.525,-0.5,COLLAPSE
